"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot";"mouse-bite-2mm-slot";4;"VAL**";;;
2;"REF**,REF**";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
3;"J2";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x16_Male";;;
4;"SCALE1";"Potentiometer_Bourns_3266Y_Vertical";1;"1K";;;
5;"C1";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"2.2nF";;;
6;"C2,C3";"CP_Radial_D5.0mm_P2.50mm";2;"1uF";;;
7;"C6,C7,C8";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";3;"100nF";;;
8;"D1,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
9;"D3";"LED_D3.0mm";1;"LED";;;
10;"FM_AMOUNT1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"1M";;;
11;"J3";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"V_OCT_IN";;;
12;"J4";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"FM_IN";;;
13;"J5";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"PULSE_OUT";;;
14;"J6";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"SAW_OUT";;;
15;"J7";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"JST_BUS";;;
16;"J8";"IDC-Header_2x08_P2.54mm_Vertical";1;"IDC_BUS";;;
17;"PULSE_WIDTH1,TUNING_COARSE1,TUNING_FINE1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";3;"100K";;;
18;"Q1";"TO-92_Inline";1;"BC558";;;
19;"Q2";"TO-92_Inline";1;"BC548";;;
20;"R1,R3,R4,R8,R9,R10,R12,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"100K";;;
21;"R2,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1M";;;
22;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K5";;;
23;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200K";;;
24;"R11,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"20K";;;
25;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33K";;;
26;"R16,R17,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10K";;;
27;"TH1,TH2,TH3,TH4";"C_Disc_D3.8mm_W2.6mm_P2.50mm";4;"10K NTC";;;
28;"U1";"DIP-14_W7.62mm_Socket";1;"TL074";;;
29;"U2";"DIP-14_W7.62mm_Socket";1;"40106";;;
30;"J1";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Female";;;
31;"C4,C5";"CP_Radial_D5.0mm_P2.50mm";2;"100uF";;;
